series id,year,period,value,footnotes
LNS12000000,2023,M12,161183,
LNS12000000,2023,M11,161866,
LNS12000000,2023,M10,161280,
LNS12000000,2023,M09,161550,
LNS12000000,2023,M08,161500,
LNS12000000,2023,M07,161209,
LNS12000000,2023,M06,161004,
LNS12000000,2023,M05,160707,
LNS12000000,2023,M04,160962,
LNS12000000,2023,M03,160824,
LNS12000000,2023,M02,160301,
LNS12000000,2023,M01,160152,Data affected by changes in population controls.
LNS12000000,2022,M12,159300,
LNS12000000,2022,M11,158485,
LNS12000000,2022,M10,158729,
LNS12000000,2022,M09,158894,
LNS12000000,2022,M08,158758,
LNS12000000,2022,M07,158282,
LNS12000000,2022,M06,158116,
LNS12000000,2022,M05,158314,
LNS12000000,2022,M04,157888,
LNS12000000,2022,M03,158219,
LNS12000000,2022,M02,157528,
LNS12000000,2022,M01,157066,Data affected by changes in population controls.
LNS12000000,2021,M12,156124,
LNS12000000,2021,M11,155508,
LNS12000000,2021,M10,154504,
LNS12000000,2021,M09,153909,
LNS12000000,2021,M08,153270,
LNS12000000,2021,M07,152789,
LNS12000000,2021,M06,151747,
LNS12000000,2021,M05,151487,
LNS12000000,2021,M04,151083,
LNS12000000,2021,M03,150660,
LNS12000000,2021,M02,150140,
LNS12000000,2021,M01,149817,Data affected by changes in population controls.
LNS12000000,2020,M12,149989,
LNS12000000,2020,M11,149914,
LNS12000000,2020,M10,149949,
LNS12000000,2020,M09,147674,
LNS12000000,2020,M08,147261,
LNS12000000,2020,M07,143787,
LNS12000000,2020,M06,142345,
LNS12000000,2020,M05,137133,
LNS12000000,2020,M04,133185,
LNS12000000,2020,M03,155371,
LNS12000000,2020,M02,158683,
LNS12000000,2020,M01,158486,Data affected by changes in population controls.
LNS12000000,2019,M12,158845,
LNS12000000,2019,M11,158629,
LNS12000000,2019,M10,158545,
LNS12000000,2019,M09,158339,
LNS12000000,2019,M08,157829,
LNS12000000,2019,M07,157529,
LNS12000000,2019,M06,157232,
LNS12000000,2019,M05,156821,
LNS12000000,2019,M04,156625,
LNS12000000,2019,M03,156701,
LNS12000000,2019,M02,156863,
LNS12000000,2019,M01,156487,Data affected by changes in population controls.
LNS12000000,2018,M12,156817,
LNS12000000,2018,M11,156721,
LNS12000000,2018,M10,156391,
LNS12000000,2018,M09,156015,
LNS12000000,2018,M08,155504,
LNS12000000,2018,M07,156146,
LNS12000000,2018,M06,155762,
LNS12000000,2018,M05,155652,
LNS12000000,2018,M04,155312,
LNS12000000,2018,M03,155214,
LNS12000000,2018,M02,155197,
LNS12000000,2018,M01,154425,Data affected by changes in population controls.
LNS12000000,2017,M12,153904,
LNS12000000,2017,M11,153805,
LNS12000000,2017,M10,153609,
LNS12000000,2017,M09,154286,
LNS12000000,2017,M08,153503,
LNS12000000,2017,M07,153569,
LNS12000000,2017,M06,153318,
LNS12000000,2017,M05,153069,
LNS12000000,2017,M04,153255,
LNS12000000,2017,M03,153065,
LNS12000000,2017,M02,152480,
LNS12000000,2017,M01,152152,Data affected by changes in population controls.
LNS12000000,2016,M12,152157,
LNS12000000,2016,M11,151954,
LNS12000000,2016,M10,151793,
LNS12000000,2016,M09,151761,
LNS12000000,2016,M08,151779,
LNS12000000,2016,M07,151554,
LNS12000000,2016,M06,151223,
LNS12000000,2016,M05,151132,
LNS12000000,2016,M04,151074,
LNS12000000,2016,M03,151218,
LNS12000000,2016,M02,150939,
LNS12000000,2016,M01,150653,Data affected by changes in population controls.
LNS12000000,2015,M12,150128,
LNS12000000,2015,M11,149463,
LNS12000000,2015,M10,149246,
LNS12000000,2015,M09,148826,
LNS12000000,2015,M08,149181,
LNS12000000,2015,M07,148830,
LNS12000000,2015,M06,148816,
LNS12000000,2015,M05,148817,
LNS12000000,2015,M04,148511,
LNS12000000,2015,M03,148128,
LNS12000000,2015,M02,148045,
LNS12000000,2015,M01,148145,Data affected by changes in population controls.
LNS12000000,2014,M12,147615,
LNS12000000,2014,M11,147404,
LNS12000000,2014,M10,147427,
LNS12000000,2014,M09,146778,
LNS12000000,2014,M08,146530,
LNS12000000,2014,M07,146399,
LNS12000000,2014,M06,146247,
LNS12000000,2014,M05,145825,
LNS12000000,2014,M04,145667,
LNS12000000,2014,M03,145648,
LNS12000000,2014,M02,145134,
LNS12000000,2014,M01,145150,Data affected by changes in population controls.
LNS12000000,2013,M12,144778,
LNS12000000,2013,M11,144479,
LNS12000000,2013,M10,143537,
LNS12000000,2013,M09,144418,
LNS12000000,2013,M08,144326,
LNS12000000,2013,M07,144264,
LNS12000000,2013,M06,143999,
LNS12000000,2013,M05,143882,
LNS12000000,2013,M04,143635,
LNS12000000,2013,M03,143316,
LNS12000000,2013,M02,143362,
LNS12000000,2013,M01,143292,Data affected by changes in population controls.
LNS12000000,2012,M12,143330,
LNS12000000,2012,M11,143333,
LNS12000000,2012,M10,143431,
LNS12000000,2012,M09,143044,
LNS12000000,2012,M08,142291,
LNS12000000,2012,M07,142292,
LNS12000000,2012,M06,142391,
LNS12000000,2012,M05,142206,
LNS12000000,2012,M04,141899,
LNS12000000,2012,M03,142036,
LNS12000000,2012,M02,141858,
LNS12000000,2012,M01,141584,Data affected by changes in population controls.
LNS12000000,2011,M12,140902,
LNS12000000,2011,M11,140826,
LNS12000000,2011,M10,140368,
LNS12000000,2011,M09,140183,
LNS12000000,2011,M08,139942,
LNS12000000,2011,M07,139524,
LNS12000000,2011,M06,139384,
LNS12000000,2011,M05,139624,
LNS12000000,2011,M04,139586,
LNS12000000,2011,M03,139639,
LNS12000000,2011,M02,139394,
LNS12000000,2011,M01,139250,Data affected by changes in population controls.
LNS12000000,2010,M12,139301,
LNS12000000,2010,M11,139044,
LNS12000000,2010,M10,139119,
LNS12000000,2010,M09,139396,
LNS12000000,2010,M08,139438,
LNS12000000,2010,M07,139179,
LNS12000000,2010,M06,139141,
LNS12000000,2010,M05,139241,
LNS12000000,2010,M04,139297,
LNS12000000,2010,M03,138751,
LNS12000000,2010,M02,138581,
LNS12000000,2010,M01,138438,Data affected by changes in population controls.
LNS12000000,2009,M12,138013,
LNS12000000,2009,M11,138659,
LNS12000000,2009,M10,138432,
LNS12000000,2009,M09,138818,
LNS12000000,2009,M08,139492,
LNS12000000,2009,M07,139901,
LNS12000000,2009,M06,140009,
LNS12000000,2009,M05,140248,
LNS12000000,2009,M04,140656,
LNS12000000,2009,M03,140707,
LNS12000000,2009,M02,141640,
LNS12000000,2009,M01,142152,Data affected by changes in population controls.
LNS12000000,2008,M12,143369,
LNS12000000,2008,M11,144100,
LNS12000000,2008,M10,144802,
LNS12000000,2008,M09,145076,
LNS12000000,2008,M08,145203,
LNS12000000,2008,M07,145532,
LNS12000000,2008,M06,145737,
LNS12000000,2008,M05,145908,
LNS12000000,2008,M04,146132,
LNS12000000,2008,M03,146086,
LNS12000000,2008,M02,146156,
LNS12000000,2008,M01,146378,Data affected by changes in population controls.
LNS12000000,2007,M12,146273,
LNS12000000,2007,M11,146595,
LNS12000000,2007,M10,145946,
LNS12000000,2007,M09,146244,
LNS12000000,2007,M08,145682,
LNS12000000,2007,M07,145905,
LNS12000000,2007,M06,146063,
LNS12000000,2007,M05,145903,
LNS12000000,2007,M04,145586,
LNS12000000,2007,M03,146320,
LNS12000000,2007,M02,146057,
LNS12000000,2007,M01,146028,Data affected by changes in population controls.
LNS12000000,2006,M12,145970,
LNS12000000,2006,M11,145534,
LNS12000000,2006,M10,145314,
LNS12000000,2006,M09,144815,
LNS12000000,2006,M08,144625,
LNS12000000,2006,M07,144202,
LNS12000000,2006,M06,144353,
LNS12000000,2006,M05,144089,
LNS12000000,2006,M04,143761,
LNS12000000,2006,M03,143741,
LNS12000000,2006,M02,143457,
LNS12000000,2006,M01,143150,Data affected by changes in population controls.
LNS12000000,2005,M12,142752,
LNS12000000,2005,M11,142499,
LNS12000000,2005,M10,142548,
LNS12000000,2005,M09,142401,
LNS12000000,2005,M08,142434,
LNS12000000,2005,M07,142026,
LNS12000000,2005,M06,141714,
LNS12000000,2005,M05,141609,
LNS12000000,2005,M04,141254,
LNS12000000,2005,M03,140654,
LNS12000000,2005,M02,140385,
LNS12000000,2005,M01,140245,Data affected by changes in population controls.
LNS12000000,2004,M12,140125,
LNS12000000,2004,M11,140231,
LNS12000000,2004,M10,139732,
LNS12000000,2004,M09,139487,
LNS12000000,2004,M08,139573,
LNS12000000,2004,M07,139556,
LNS12000000,2004,M06,139174,
LNS12000000,2004,M05,138852,
LNS12000000,2004,M04,138680,
LNS12000000,2004,M03,138453,
LNS12000000,2004,M02,138542,
LNS12000000,2004,M01,138472,Data affected by changes in population controls.
